"","movie","pick","review"
"1","All the Money in the World",1,"Mr. Plummer, who replaced Kevin Spacey in the role of J. Paul Getty, is magnetic in the film, which recounts the 1973 kidnapping of his grandson."
"2","In the Fade",0,"In Fatih Akin’s new film, Diane Kruger plays a Hamburg woman who fights for justice and sanity after the murder of her husband and son."
"3","Phantom Thread",1,"Paul Thomas Anderson’s latest film is a luxuriant love story set in 1950s London."
"4","A German Life",0,"Did Goebbels’s secretary do anything more than type? This documentary lets viewers judge."
"5","Along With the Gods: The Two Worlds",0,"This delirious fantasy from Kim Yong-hwa, adapted from a web comic, buries story clarity and emotional depth under a mountain of visual pyrotechnics."
"6","Bright",0,"David Ayer’s urban action film is a loud, ungainly hybrid that does not serve police procedurals or fantasy spectaculars very well."
"7","Downsizing",0,"Alexander Payne looks at the big picture in his new movie."
"8","Father Figures",0,"This film about two brothers searching for their real father can’t decide whether it’s a gross-out comedy or an uplifting tale of brotherly love."
"9","Happy End",1,"Isabelle Huppert, Toby Jones and Mathieu Kassovitz make up a remarkable ensemble cast. But “Happy End” belongs to Jean-Louis Trintignant."
"10","Jumanji: Welcome to the Jungle",0,"The magical game is back, and this time it’s turning geeks into action heroes and jocks into zoologists."
"11","Pitch Perfect 3",0,"The latest entry in this movie series fares best when its director treats it as a fantastical buddy comedy."
"12","The Greatest Showman",0,"The film has the ingredients of a splashy good time — the charismatic Hugh Jackman, for one — but it fast becomes a standard-issue holiday biopic."
"13","Beyond Skyline",0,"Liam O’Donnell’s genre-hopping film takes its characters from Los Angeles to Laos, but risks losing its audience along the way."
"14","Birdboy: The Forgotten Children",0,"The movie has talking animals, but it’s not necessarily for kids."
"15","Desolation",0,"This psycho-in-the-woods tale benefits from sensitive writing and organic performances."
"16","Ferdinand",0,"Ferdinand, the picture-book bull that is actually quite tame, gets new life in a computer-animated adaptation from Carlos Saldanha."
"17","Killing for Love",0,"The true-crime documentary lays out a persuasive case for reasonable doubt in the case against Jens Soering, who was convicted, along with his girlfriend."
"18","Miss Kiet's Children",0,"The documentary by Petra Lataster-Czisch and Peter Lataster follows young students in the classroom but doesn’t examine their lives outside school."
"19","Permanent",0,"Rainn Wilson and Patricia Arquette play the parents of a girl who gets the titular treatment in this unsuccessful comedy."
"20","Soufra",1,"This documentary from Thomas Morgan, about a female entrepreneur establishing a business just south of Beirut, is a stirring tale of empowerment."
"21","Star Wars: The Last Jedi",1,"With charm and wit, the latest “Star Wars” movie unites the past and present as it looks toward the future."
"22","Sundowners",0,"In this droll comedy from Pavan Moondi, a pair of feckless layabouts are assigned to video-record a wedding at a Mexican resort. Mishaps ensue."
"23","The Ballad of Lefty Brown",0,"Bill Pullman stars in this Montana-set western, which tips its cowboy hat to classics of the genre."
"24","The Rape of Recy Taylor",1,"Nancy Buirski’s film is one of multiple layers and marvelous gumption."
"25","Bill Frisell: A Portrait",1,"The director Emma Franz focuses on a musician who seems to never stop playing, featuring great collaborators of this “no drama” artist."
"26","Hollow in the Land",0,"When the brother of Dianna Agron’s character is accused of murder, it’s up to her to save him and their family reputation."
"27","I, Tonya",0,"In this winking biopic, Margot Robbie plays the disgraced ice skater Tonya Harding."
"28","Just Getting Started",0,"The writer-director Ron Shelton returns to his favorite themes in this comedy starring Morgan Freeman, Tommy Lee Jones and Rene Russo."
"29","Kaleidoscope",0,"A toxic mother-son bond drives Rupert Jones’s glum British psychodrama."
"30","Quest",1,"This documentary from Jonathan Olshefski follows a North Philadelphia family through the Obama years."
"31","The Disaster Artist",0,"James Franco directs and stars in this fictionalized look at the making of “The Room,” which fans call the worst movie ever made."
"32","32 Pills: My Sister's Suicide",0,"Hope Litoff’s documentary becomes more voyeuristically gripping as it progresses."
"33","Love Beats Rhymes",0,"The rap luminary RZA and the hip-hop musician Azealia Banks team up for a story of rap and poetry, “Love Beats Rhymes.”"
"34","Naples '44",0,"Taken from a British intelligence officer’s memoir, and narrated by Benedict Cumberbatch, this film paints a portrait of the occupied city."
"35","Rosa Chumbe",0,"An alcoholic cop and her pregnant daughter are forced to reckon with their mistakes in this Peruvian drama."
"36","Shadowman",1,"Richard Hambleton, a peer of Jean-Michel Basquiat and Keith Haring who went underground, was painting right up until his death this fall."
"37","Sins of the Flesh",0,"A drama about a prison escapee in hiding plays out against the backdrop of the 2011 demonstrations in Cairo’s Tahrir Square."
"38","The Dancer",0,"The film, directed by Stéphanie Di Giusto, seems genuinely hostile to its subject, the dancer Loïe Fuller, whose real-life accomplishments deserve better."
"39","The New Radical",0,"The documentary follows Cody Wilson, who published plans to create a gun using a 3-D printer."
"40","The Tribes of Palos Verdes",0,"Not even a move to a picture-perfect California paradise can buoy a troubled family."
"41","Voyeur",0,"This squirmy documentary follows the celebrated journalist Gay Talese’s infamous investigation of a motel owner who spied on guests."
"42","Wonder Wheel",0,"Kate Winslet plays an unhappily married woman whose affair with a local Romeo is derailed when he falls for her stepdaughter."
"43","AL DI QUA (Life/Here)",0,"In this film, Turin’s poorest tell their stories to the camera."
"44","Call Me by Your Name",1,"In the latest movie from the Italian director Luca Guadagnino (“I Am Love”), Armie Hammer plays a visiting student who falls for his host’s teenage son."
"45","Coco",0,"The movie delivers moments of cinematic rigor and playful pop-culture erudition. And though it deals with the afterlife, don’t let that scare you."
"46","Crooked House",0,"Glenn Close, Julian Sands, Gillian Anderson and Christina Hendricks make up an all-star roster of suspects in this Agatha Christie adaptation."
"47","Cuba and the Cameraman",0,"The filmmaker Jon Alpert has been visiting and documenting Cuba for 45 years. His new movie looks back fondly at its people and its leader."
"48","Darkest Hour",0,"Gary Oldman plays Winston Churchill in Joe Wright’s drama about the early days of World War II."
"49","Eric Clapton: Life in 12 Bars",0,"A documentary on the life of Eric Clapton is candid on the rock legend’s struggles with addiction."
"50","Hangman",0,"The detectives in this serial-killer thriller can’t even be bothered to solve the word puzzle."
"51","Mr. Roosevelt",0,"Noël Wells wrote, directed and stars in this film about a young woman who returns to her former home and discovers much has changed."
"52","Roman J. Israel, Esq.",0,"Dan Gilroy’s new film about a socially awkward jurist misfires when it appoints him as a sort of angelic figure."
"53","The Man Who Invented Christmas",0,"This drama purports that Charles Dickens took inspiration for his fictional characters from real-life encounters."
"54","Cook Off!",0,"This mockumentary about a cooking competition features Melissa McCarthy but is being released 10 years after it was first shown at a comedy festival."
"55","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",1,"In his documentary about Jim Carrey, Andy Kaufman and the making of “Man on the Moon,” the director Chris Smith finds multiple realities and laughs."
"56","Justice League",0,"In this superhero jamboree, the Flash, Aquaman and Cyborg sign on with the DC Comics team leaders Batman and Wonder Woman. (Psst … where’s Superman?)"
"57","Mudbound",1,"Dee Rees’s new film illuminates the daily cruelties in post-World War II Mississippi."
"58","Song of Granite",0,"This biography of the singer Joe Heaney seems uncertain of what made him tick."
"59","The Breadwinner",1,"The children in this animated film based on a novel by Deborah Ellis navigate life under the Taliban."
"60","Wet Woman in the Wind",0,"Let’s make no bones about it: This film, part of a project to reboot a Japanese soft-core genre, is designed to appeal to male prurient interest."
"61","Wonder",1,"Auggie, the little boy in this smart and warmhearted family film, is inspirational in his differences."
"62","Bitch",1,"Jason Ritter plays a husband whose wife goes to the dogs in this feminist horror-comedy."
"63","Daddy's Home 2",0,"Mel Gibson gets off lightly as a crass paterfamilias in this comedy sequel to the hit starring Will Ferrell and Mark Wahlberg."
