"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"1","20th Century Women","Comedy, Drama","Nominated for 1 Oscar. Another 12 wins & 67 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","88%","Metacritic","83/100"
"2","3 Idiotas","Comedy, Family","1 nomination.","Internet Movie Database","4.2/10",NA,NA,NA,NA
"3","9/11","Documentary","Won 2 Primetime Emmys. Another 6 wins & 6 nominations.","Internet Movie Database","8.4/10",NA,NA,NA,NA
"4","A Bad Moms Christmas","Adventure, Comedy","1 win & 1 nomination.","Internet Movie Database","5.5/10","Rotten Tomatoes","28%","Metacritic","42/100"
"5","A Boy Called Po","Drama, Fantasy","11 wins & 2 nominations.","Internet Movie Database","7.6/10","Metacritic","47/100",NA,NA
"6","A Cure for Wellness","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","4 wins & 5 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","41%","Metacritic","47/100"
"7","A Dog's Purpose","Adventure, Comedy, Drama, Family, Fantasy","3 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","34%","Metacritic","43/100"
"8","A Ghost Story","Drama, Fantasy, Romance","11 wins & 17 nominations.","Internet Movie Database","6.8/10","Rotten Tomatoes","91%","Metacritic","84/100"
"9","A Monster Calls","Animation, Drama, Fantasy","38 wins & 51 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","86%","Metacritic","76/100"
"10","A Question of Faith","Drama","N/A","Internet Movie Database","5.3/10","Rotten Tomatoes","40%",NA,NA
"11","A United Kingdom","Biography, Drama, Romance","1 win & 4 nominations.","Internet Movie Database","6.8/10","Rotten Tomatoes","84%","Metacritic","65/100"
"12","A Woman's Life","Drama","2 wins & 8 nominations.","Internet Movie Database","6.6/10","Metacritic","74/100",NA,NA
"13","Abracadabra","Comedy, Drama, Fantasy","1 win & 23 nominations.","Internet Movie Database","6.0/10","Rotten Tomatoes","100%",NA,NA
"14","Alien: Covenant","Horror, Sci-Fi, Thriller","1 win & 12 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","67%","Metacritic","65/100"
"15","All Eyez on Me","Biography, Drama, Music","1 nomination.","Internet Movie Database","5.8/10","Rotten Tomatoes","17%","Metacritic","38/100"
"16","All I See Is You","Drama, Mystery, Romance","1 nomination.","Internet Movie Database","5.3/10","Rotten Tomatoes","29%","Metacritic","43/100"
