"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"1","In the Fade","Crime, Drama, Thriller","Won 1 Golden Globe. Another 13 wins & 17 nominations.","Internet Movie Database","7.1/10","Metacritic","65/100",NA,NA
"2","A German Life","Documentary, Biography","N/A","Internet Movie Database","7.2/10",NA,NA,NA,NA
"3","Along with the Gods: The Two Worlds","Action, Drama, Fantasy","1 win & 3 nominations.","Internet Movie Database","7.3/10","Rotten Tomatoes","50%",NA,NA
"4","Bright","Action, Crime, Fantasy, Thriller","1 win & 3 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","26%","Metacritic","29/100"
"5","Downsizing","Drama, Sci-Fi","Nominated for 1 Golden Globe. Another 1 win & 14 nominations.","Internet Movie Database","5.7/10","Rotten Tomatoes","50%","Metacritic","63/100"
"6","Father Figures","Comedy","N/A","Internet Movie Database","5.4/10","Rotten Tomatoes","18%","Metacritic","22/100"
"7","Jumanji: Welcome to the Jungle","Action, Adventure, Comedy","2 wins & 3 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","76%","Metacritic","58/100"
"8","Pitch Perfect 3","Comedy, Music","2 wins & 3 nominations.","Internet Movie Database","5.9/10","Rotten Tomatoes","32%","Metacritic","40/100"
"9","The Greatest Showman","Biography, Drama, Musical","Nominated for 1 Oscar. Another 7 wins & 19 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","56%","Metacritic","48/100"
"10","Beyond Skyline","Action, Adventure, Horror","N/A","Internet Movie Database","5.3/10","Rotten Tomatoes","65%","Metacritic","46/100"
"11","Birdboy: The Forgotten Children","Animation, Drama, Horror","7 wins & 5 nominations.","Internet Movie Database","7.5/10","Metacritic","76/100",NA,NA
"12","Desolation","Drama, Horror, Thriller","N/A","Internet Movie Database","4.6/10","Rotten Tomatoes","64%",NA,NA
"13","Ferdinand","Animation, Adventure, Comedy","Nominated for 1 Oscar. Another 2 wins & 15 nominations.","Internet Movie Database","6.7/10","Rotten Tomatoes","71%","Metacritic","58/100"
"14","Killing for Love","Thriller","N/A","Internet Movie Database","4.1/10","Rotten Tomatoes","100%",NA,NA
"15","Miss Kiet's Children","Documentary","N/A","Internet Movie Database","8.4/10","Rotten Tomatoes","100%",NA,NA
"16","Permanent","Comedy","N/A","Internet Movie Database","5.5/10","Rotten Tomatoes","38%","Metacritic","41/100"
"17","Sundowners","Comedy, Drama","1 nomination.","Internet Movie Database","6.8/10","Rotten Tomatoes","80%","Metacritic","49/100"
"18","The Ballad of Lefty Brown","Action, Drama, Western","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","78%","Metacritic","64/100"
"19","Hollow in the Land","Drama, Mystery, Thriller","N/A","Internet Movie Database","5.6/10","Rotten Tomatoes","57%","Metacritic","58/100"
"20","I, Tonya","Biography, Comedy, Drama","Nominated for 3 Oscars. Another 31 wins & 109 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","90%","Metacritic","77/100"
"21","Just Getting Started","Action, Comedy","N/A","Internet Movie Database","4.3/10","Rotten Tomatoes","5%","Metacritic","21/100"
"22","Kaleidoscope","Comedy, Crime","1 nomination.","Internet Movie Database","6.0/10",NA,NA,NA,NA
"23","The Disaster Artist","Biography, Comedy, Drama","Nominated for 1 Oscar. Another 25 wins & 71 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","91%","Metacritic","76/100"
"24","32 Pills: My Sister's Suicide","Documentary, Biography, Family","1 win & 1 nomination.","Internet Movie Database","6.5/10","Rotten Tomatoes","100%","Metacritic","71/100"
"25","Love Beats Rhymes","Drama, Musical","N/A","Internet Movie Database","5.1/10","Rotten Tomatoes","50%","Metacritic","54/100"
"26","Naples '44","Documentary, War","1 win & 1 nomination.","Internet Movie Database","6.5/10","Metacritic","51/100",NA,NA
"27","Rosa Chumbe","Drama","8 wins & 2 nominations.","Internet Movie Database","7.1/10",NA,NA,NA,NA
